name,years_in_top1000,total_share
JESSIE,258,0.393384
LESLIE,247,0.264458
JEAN,244,0.389832
GUADALUPE,244,0.053594
LEE,240,0.302419
JAMES,239,4.593850
JOHN,238,5.320360
WILLIAM,237,4.424557
ROBERT,235,3.836721
FRANCIS,229,0.361499
MARION,223,0.316325
DANA,223,0.135921
MARY,222,4.534115
CHARLES,222,2.528625
WILLIE,222,0.775679
JOHNNIE,216,0.153101
JOSEPH,215,2.299793
BILLIE,213,0.104208
CARMEN,211,0.096086
JOE,210,0.517997
SIDNEY,209,0.112310
EDDIE,208,0.205853
GEORGE,205,2.107293
CHARLIE,205,0.290348
JIMMIE,205,0.119908
SHIRLEY,203,0.527859
THOMAS,202,1.906148
CONNIE,201,0.167421
LONNIE,200,0.092466
TOMMIE,200,0.048976
LYNN,199,0.141360
FRANKIE,198,0.051829
TERRY,196,0.281717
DAVID,195,2.165669
FRANCES,195,0.671132
SHELBY,194,0.084306
FREDDIE,194,0.061979
DALE,193,0.194114
ELIZABETH,191,1.396418
MARGARET,191,1.366480
HENRY,190,0.963697
BONNIE,190,0.225643
JERRY,189,0.421391
FRANK,188,1.344565
CAROL,188,0.536322
BENNIE,188,0.068960
MICHAEL,186,2.376937
RICHARD,186,1.834486
RAY,186,0.227736
KELLY,185,0.302810
TRACY,185,0.174656
BOBBIE,185,0.075236
HELEN,184,1.239332
JAMIE,182,0.189682
CECIL,182,0.141979
GENE,181,0.102368
JESSE,180,0.359691
RUBY,180,0.352329
VIVIAN,179,0.159024
GAIL,179,0.129294
NOEL,179,0.033084
IRA,178,0.088348
IVY,178,0.028899
RUTH,177,0.946142
MERLE,175,0.051570
DOROTHY,174,1.069150
OLLIE,173,0.109283
CLARE,173,0.024974
CLYDE,172,0.200453
ADRIAN,172,0.099227
DONNIE,172,0.041885
JACKIE,170,0.102347
EDWARD,169,1.430469
WALTER,169,0.908281
SANDY,169,0.046443
ANNIE,168,0.539183
CHRISTIAN,168,0.183154
CLAIRE,168,0.100340
ANNA,167,1.200629
RENE,166,0.038022
PEARL,165,0.328819
ALMA,165,0.231432
JUNE,165,0.153062
CHRIS,165,0.094606
PATRICIA,164,1.002288
BEVERLY,164,0.257079
JEWEL,164,0.040344
BARBARA,163,1.003969
ALICE,163,0.714631
AUDREY,162,0.168494
MORGAN,162,0.120199
ROSE,160,0.578464
SAMMIE,160,0.022558
LILLIAN,159,0.541945
TAYLOR,159,0.198155
AUBREY,159,0.051448
HAZEL,158,0.351319
PAUL,157,1.075332
ARTHUR,157,0.755515
LINDA,156,0.839074
EMMA,156,0.650993
CLARA,156,0.473689
LEO,156,0.223723
JORDAN,156,0.212868
BERNICE,156,0.201338
ANGEL,156,0.125577
ROBBIE,155,0.027309
AUGUSTINE,155,0.011313
CHRISTOPHER,154,1.033544
SUSAN,154,0.670730
MARIE,154,0.657194
LOUIS,154,0.494243
ANDREA,154,0.225975
LAVERNE,154,0.046708
ANTHONY,153,0.816774
GRACE,153,0.553511
BILLY,153,0.264693
CLEO,153,0.049794
ALVA,153,0.033017
DONALD,152,1.036651
DORIS,152,0.401188
FAY,152,0.045045
MEREDITH,152,0.042009
JOYCE,151,0.353102
CLIFFORD,151,0.198414
LOUIE,151,0.033187
ROBIN,150,0.174379
PAT,150,0.053179
SARAH,149,0.818441
MARTHA,149,0.618904
AVERY,149,0.043492
LOREN,149,0.041788
LOUISE,148,0.449773
EDITH,148,0.401866
RILEY,148,0.069955
CAREY,148,0.018699
DANIEL,147,1.100932
NANCY,147,0.705597
PATSY,147,0.096285
ORA,147,0.086187
HARLEY,147,0.046239
DEE,147,0.019910
EARL,146,0.392518
CARRIE,146,0.344572
ALEX,146,0.168559
HAROLD,145,0.602322
VIRGINIA,145,0.574222
JACK,145,0.561470
LARRY,145,0.483426
MARIA,145,0.335300
LOIS,145,0.301118
DEAN,145,0.102506
ALLIE,145,0.055041
JOHNIE,145,0.038627
MATTHEW,144,0.798856
HARRY,144,0.796021
ALBERT,144,0.697858
FRED,144,0.590430
JASON,144,0.544567
ERIC,144,0.452723
ELMER,144,0.232182
SYDNEY,144,0.078391
KENNETH,143,0.835442
EUGENE,143,0.390842
GLENN,143,0.193028
GABRIEL,143,0.125552
BETTY,142,0.819903
MARK,142,0.712377
DONNA,142,0.500235
IRENE,142,0.414663
EVA,142,0.343863
CORA,142,0.238127
MAURICE,142,0.120656
JEWELL,142,0.037044
JOSHUA,141,0.566946
AMANDA,141,0.467999
JOSEPHINE,141,0.374502
NORA,141,0.169424
ANTONIA,141,0.025010
JULIA,140,0.431614
DEBORAH,140,0.390263
ELLA,140,0.347429
SHANNON,140,0.191829
LAURA,139,0.656621
CARL,139,0.529499
ROY,139,0.491040
ESTHER,139,0.316201
COURTNEY,139,0.144076
JOY,139,0.081723
DALLAS,139,0.039306
CARSON,139,0.034279
RAYMOND,138,0.710753
JUDITH,138,0.296551
AARON,138,0.293097
KYLE,138,0.231614
BOBBY,138,0.207610
ANDREW,137,0.786118
EVELYN,137,0.463526
MELISSA,137,0.420473
AMY,137,0.418864
JONATHAN,137,0.391848
CYNTHIA,137,0.388876
ANGELA,137,0.379268
LINDSEY,137,0.085564
ARTIE,137,0.016836
RONALD,136,0.664404
FLORENCE,136,0.601811
EDNA,136,0.478070
ASHLEY,136,0.427409
CAROLYN,136,0.372458
JOAN,136,0.359120
ALEXANDER,136,0.324876
CATHERINE,135,0.603774
JUSTIN,135,0.374366
GLADYS,135,0.360486
CHRISTINA,135,0.275750
DAISY,135,0.168599
STEVEN,134,0.660534
TIMOTHY,134,0.561027
LUCY,134,0.235598
CAMILLE,134,0.034711
JUSTINE,134,0.023160
BERTHA,133,0.441842
GERALD,133,0.328196
LENA,133,0.234624
MAGGIE,133,0.171694
VERNON,133,0.138366
CLARENCE,132,0.495769
NICHOLAS,132,0.456794
ERNEST,132,0.398657
JOHNNY,132,0.188934
WILL,132,0.137886
LOU,132,0.043074
KATHERINE,131,0.482094
RALPH,131,0.469456
SCOTT,131,0.413424
HOWARD,131,0.403194
JANET,131,0.361220
RACHEL,131,0.344104
ELLEN,131,0.265788
BEATRICE,131,0.235831
AUSTIN,131,0.191688
GEORGIA,131,0.165261
CARROLL,131,0.041010
LACY,131,0.016878
GARY,130,0.505288
REBECCA,130,0.457385
KATHLEEN,130,0.442717
ANN,130,0.378648
DENNIS,130,0.372308
KATHRYN,130,0.339996
ALFRED,130,0.310120
ELEANOR,130,0.266005
MELVIN,130,0.212708
ROSA,130,0.211661
CAROLINE,130,0.169258
EDGAR,130,0.163255
TROY,130,0.120055
CALLIE,130,0.050605
ELLIS,130,0.046887
SAMUEL,129,0.579873
MILDRED,129,0.551543
STEPHEN,129,0.511472
EMILY,129,0.460132
JACOB,129,0.450619
BENJAMIN,129,0.448095
PETER,129,0.441114
LAWRENCE,129,0.420251
PATRICK,129,0.405885
CHRISTINE,129,0.370465
DOUGLAS,129,0.329672
THERESA,129,0.302792
JOSE,129,0.299464
JANE,129,0.291763
LEONARD,129,0.290462
ADAM,129,0.289183
RUSSELL,129,0.289034
ROGER,129,0.285948
JULIE,129,0.281652
SARA,129,0.278114
STANLEY,129,0.272945
FREDERICK,129,0.272918
NATHAN,129,0.271728
ANNE,129,0.264345
VICTORIA,129,0.263975
PHILIP,129,0.263450
MARTIN,129,0.261413
TERESA,129,0.243013
CHARLOTTE,129,0.241806
EDWIN,129,0.238919
WAYNE,129,0.238291
OSCAR,129,0.236330
BRUCE,129,0.232084
THEODORE,129,0.229299
HANNAH,129,0.227388
VICTOR,129,0.218359
VINCENT,129,0.215505
LEROY,129,0.213565
ALLEN,129,0.212876
SAM,129,0.212183
BERNARD,129,0.206534
MARVIN,129,0.206199
LEWIS,129,0.201119
SYLVIA,129,0.198060
PHILLIP,129,0.195531
KATIE,129,0.190547
JUAN,129,0.179740
CURTIS,129,0.177911
LEON,129,0.162254
PAULA,129,0.160770
STEVE,129,0.158786
WARREN,129,0.157693
NATALIE,129,0.157268
OLIVIA,129,0.155369
TONY,129,0.154034
ALVIN,129,0.152572
LYDIA,129,0.145542
ISAAC,129,0.144635
WESLEY,129,0.143923
JOEL,129,0.142089
CARLOS,129,0.141317
NATHANIEL,129,0.141279
CALVIN,129,0.141221
MIKE,129,0.139627
RODNEY,129,0.138778
VERONICA,129,0.136376
MILTON,129,0.134833
GORDON,129,0.133819
MANUEL,129,0.131956
ANTONIO,129,0.131440
BEN,129,0.130187
JAY,129,0.127824
NOAH,129,0.122837
LUIS,129,0.122769
GILBERT,129,0.119639
MARCUS,129,0.119510
REGINA,129,0.119484
MADELINE,129,0.118580
JEROME,129,0.117662
SOPHIA,129,0.117392
FRANKLIN,129,0.116323
NINA,129,0.111464
LEAH,129,0.111254
AMELIA,129,0.110434
GENEVIEVE,129,0.108354
EVERETT,129,0.107857
NAOMI,129,0.106732
MAX,129,0.103578
EVAN,129,0.102489
OLIVER,129,0.102445
LUKE,129,0.099500
ELIJAH,129,0.097520
MITCHELL,129,0.091889
JULIUS,129,0.090660
CLAYTON,129,0.089651
ROLAND,129,0.088374
JULIAN,129,0.088073
MICHEAL,129,0.083713
CLAUDIA,129,0.083457
MOLLY,129,0.082666
MIRIAM,129,0.081848
CLINTON,129,0.081759
ISABEL,129,0.081357
SETH,129,0.078538
PRISCILLA,129,0.077267
KATE,129,0.076397
JAKE,129,0.074666
MARSHALL,129,0.074659
IVAN,129,0.073613
JEREMIAH,129,0.073331
OWEN,129,0.072930
FRANCISCO,129,0.071058
JACKSON,129,0.069278
NELSON,129,0.068637
GRANT,129,0.068005
ROSS,129,0.067764
NEIL,129,0.067379
CECILIA,129,0.067314
RUBEN,129,0.066943
ANGELINA,129,0.066646
MASON,129,0.066534
REGINALD,129,0.066474
ALLAN,129,0.066405
ABRAHAM,129,0.063702
GARRETT,129,0.062130
PRESTON,129,0.062007
SPENCER,129,0.061696
CELIA,129,0.061193
AUGUST,129,0.061130
FELIX,129,0.059190
BYRON,129,0.058862
JOANNA,129,0.057947
LEVI,129,0.057320
JOSIE,129,0.056244
ANDY,129,0.054418
JENNY,129,0.053143
PEDRO,129,0.052451
BRIDGET,129,0.051149
HARRISON,129,0.050308
WADE,129,0.050077
IRIS,129,0.049396
RAMON,129,0.048428
EMMETT,129,0.047584
MATHEW,129,0.047507
HOPE,129,0.046175
WILSON,129,0.045570
SIMON,129,0.045294
MALCOLM,129,0.044466
ALONZO,129,0.043990
CORNELIUS,129,0.043737
NICK,129,0.043248
ELI,129,0.041957
JOHANNA,129,0.041928
MOSES,129,0.040482
ANGIE,129,0.040051
CORINNE,129,0.038308
LORENA,129,0.037658
REUBEN,129,0.037295
CLARK,129,0.036537
MILES,129,0.036314
LORENZO,129,0.036006
EMANUEL,129,0.035234
JASPER,129,0.035213
ELISE,129,0.032300
CELESTE,129,0.031688
ELIAS,129,0.031385
ELISABETH,129,0.030449
CONRAD,129,0.030426
ISRAEL,129,0.028761
SOLOMON,129,0.027964
ANTON,129,0.027743
BRYANT,129,0.027047
CLAY,129,0.025617
ELSA,129,0.024721
ELLIOTT,129,0.023735
STERLING,129,0.022395
LUCIA,129,0.021687
JEFFERSON,129,0.017907
LEA,129,0.017389
DAVIS,129,0.016930
CYRUS,129,0.016780
ETHEL,128,0.532693
MATTIE,128,0.249652
DIANA,128,0.196305
TINA,128,0.166215
HUGH,128,0.112120
TOMMY,128,0.110452
LOGAN,128,0.110206
ANNETTE,128,0.110200
JESUS,128,0.108622
STACY,128,0.102659
MOLLIE,128,0.076101
KARL,128,0.073927
PERRY,128,0.070202
FREDRICK,128,0.054772
CASSIE,128,0.033137
HELENA,128,0.032452
SILAS,128,0.027251
ORLANDO,128,0.026416
ABEL,128,0.019486
TOMAS,128,0.017694
CARY,128,0.017326
THADDEUS,128,0.016382
DUNCAN,128,0.012429
NORMAN,127,0.238939
MONICA,127,0.138343
CASEY,127,0.092855
MIGUEL,127,0.079455
ISAIAH,127,0.073038
FAITH,127,0.058220
CECELIA,127,0.055923
ANGELO,127,0.050516
HECTOR,127,0.049976
IRVIN,127,0.047541
KATHARINE,127,0.038959
ELENA,127,0.031485
MERCEDES,127,0.027106
PABLO,127,0.023523
AILEEN,127,0.023368
CAROLINA,127,0.022928
ELISA,127,0.022288
HUGO,127,0.021223
JONAS,127,0.015113
LINCOLN,127,0.013289
IDA,126,0.396404
JENNIE,126,0.233345
ALAN,126,0.184246
CLAUDE,126,0.151427
EILEEN,126,0.129426
GUY,126,0.110038
FORREST,126,0.046702
LEILA,126,0.037957
RAFAEL,126,0.037805
GRETCHEN,126,0.034541
KENDALL,126,0.034523
MARGARITA,126,0.025568
AURORA,126,0.019800
EZRA,126,0.019217
VANCE,126,0.017533
REED,126,0.015380
MAGDALENA,126,0.013226
BROOKS,126,0.010119
TRAVIS,125,0.155855
ANITA,125,0.147740
ALICIA,125,0.119992
ROSEMARY,125,0.107515
ARNOLD,125,0.099184
DWIGHT,125,0.053185
REX,125,0.042214
DOMINICK,125,0.037047
CARTER,125,0.035250
BRADY,125,0.034827
ALFONSO,125,0.026635
ROMAN,125,0.025056
SAUL,125,0.022462
LUPE,125,0.016666
BLAIR,125,0.012988
CRYSTAL,124,0.180825
SALLY,124,0.157498
RANDALL,124,0.106192
GLEN,124,0.103390
CLIFTON,124,0.065285
MYRA,124,0.051015
STUART,124,0.045006
LELAND,124,0.043508
CARLTON,124,0.037669
MAXWELL,124,0.034221
BLAINE,124,0.018635
MICKEY,124,0.017831
ELISHA,124,0.017073
ULYSSES,124,0.016365
GRAHAM,124,0.016340
BENNETT,124,0.013719
GREGORY,123,0.366551
LILLIE,123,0.272041
NORMA,123,0.226914
RITA,123,0.205640
DORA,123,0.178943
LLOYD,123,0.176229
BRADLEY,123,0.151909
JEANETTE,123,0.127773
GWENDOLYN,123,0.072969
AMOS,123,0.046106
DELIA,123,0.043444
OMAR,123,0.042733
NEAL,123,0.041312
ANDRES,123,0.035377
BENNY,123,0.032942
HALLIE,123,0.030103
HERBERT,122,0.308670
ELSIE,122,0.290225
FLOYD,122,0.205002
ELAINE,122,0.174899
JIMMY,122,0.174498
JUANITA,122,0.170663
LESTER,122,0.163722
DON,122,0.129177
HUNTER,122,0.082975
JEFF,122,0.077339
KAY,122,0.067988
KERRY,122,0.051214
RACHAEL,122,0.045627
GRADY,122,0.036014
ANDERSON,122,0.018796
WINSTON,122,0.016883
DEXTER,122,0.016337
SANTOS,122,0.010263
STEPHANIE,121,0.399073
PAULINE,121,0.260175
ADA,121,0.184638
EUNICE,121,0.095749
JANIE,121,0.074063
ANTOINETTE,121,0.064433
JAN,121,0.040502
GAYLE,121,0.039632
MYRON,121,0.038464
RODERICK,121,0.026861
ODELL,121,0.017711
FELIPE,121,0.016757
SANTIAGO,121,0.016548
JESSICA,120,0.552981
LAUREN,120,0.229797
HERMAN,120,0.205493
SADIE,120,0.140993
CONSTANCE,120,0.100050
DAN,120,0.096733
DOMINIC,120,0.064252
IRVING,120,0.059392
MARCELLA,120,0.053302
FELICIA,120,0.051715
ALTON,120,0.043871
VALERIA,120,0.026048
KEITH,119,0.238821
BRYAN,119,0.188034
VALERIE,119,0.132963
CAMERON,119,0.112685
VIRGIL,119,0.087858
AVA,119,0.060151
ELIZA,119,0.059669
LILY,119,0.053224
NOLAN,119,0.029722
ALFREDO,119,0.029452
CLARISSA,119,0.020893
LAMAR,119,0.020297
EMERSON,119,0.017054
RAPHAEL,119,0.010828
MAXIE,119,0.008177
BESSIE,118,0.388283
STELLA,118,0.207134
JIM,118,0.167489
HARVEY,118,0.156331
MARIAN,118,0.131381
ERVIN,118,0.040980
PARKER,118,0.031557
JUNIOR,118,0.030722
STEWART,118,0.025502
ELVIN,118,0.018047
SUSANNA,118,0.013627
ARON,118,0.011464
JUANA,118,0.011384
PIERRE,118,0.010651
GLORIA,117,0.275663
DOLORES,117,0.172568
CHESTER,117,0.168623
ARLENE,117,0.105103
TED,117,0.058313
EDMUND,117,0.057963
JESS,117,0.039826
RANDOLPH,117,0.035408
ALBERTO,117,0.030832
ENRIQUE,117,0.027976
LIONEL,117,0.021173
HANS,117,0.012513
ISSAC,117,0.011217
MARTINA,117,0.010523
MINNIE,116,0.413461
ALEXIS,116,0.172329
TOM,116,0.169404
GENEVA,116,0.087732
IRMA,116,0.076151
OLGA,116,0.070791
DAVE,116,0.066634
LYLE,116,0.049656
LORA,116,0.047755
PETE,116,0.046284
SALVATORE,116,0.043605
LAUREL,116,0.024198
VAN,116,0.023252
ISIAH,116,0.018481
VAUGHN,116,0.012398
KATHRINE,116,0.011814
NELLIE,115,0.317133
MARJORIE,115,0.250506
LUTHER,115,0.111564
DARRELL,115,0.091486
MORRIS,115,0.086521
OTIS,115,0.073352
FERNANDO,115,0.043907
SHERMAN,115,0.043086
SHELDON,115,0.023168
LESLEY,115,0.019866
EVE,115,0.013234
IVORY,115,0.008399
BILL,114,0.134185
BETH,114,0.091113
WALLACE,114,0.090665
WILLIS,114,0.071463
JEANNETTE,114,0.063723
SYLVESTER,114,0.053882
WENDELL,114,0.039745
LAURENCE,114,0.039249
BETSY,114,0.029840
CLINT,114,0.020234
EMILIO,114,0.016800
KIRBY,114,0.009804
KAREN,113,0.542730
MARCIA,113,0.084795
EARNEST,113,0.075473
RUDOLPH,113,0.063028
ANA,113,0.047377
BERNADETTE,113,0.035267
RUDY,113,0.028214
MYLES,113,0.014525
BERYL,113,0.013661
JULIET,113,0.011048
SANDRA,112,0.513320
ALLISON,112,0.133226
ROBERTA,112,0.130952
DALTON,112,0.037149
DAPHNE,112,0.016715
COLEMAN,112,0.012298
LAVERN,112,0.011882
THEO,112,0.010261
LORETTA,111,0.155207
LORRAINE,111,0.154602
JEANNE,111,0.114329
JAIME,111,0.058377
ERWIN,111,0.023912
DENA,111,0.021909
JANETTE,111,0.019566
ELLIOT,111,0.014549
ARLIE,111,0.010430
ELVIS,111,0.009615
JACQUELINE,110,0.241587
