family,variant
ABIGAIL,ABBY
ABRAHAM,ABE
ADELINE,ALINE
ALAN,ALLEN
ALBERT,AL
ALBERT,BERT
ALBERT,BURT
ALEC,ALEXANDER
ALESSANDRA,ALEXANDRA
ALEXANDER,ALEX
ALEXANDER,XANDER
ALEXANDER,ZANDER
ALEXANDRA,ALEX
ALEXANDRA,LEXI
ALLESANDRA,ALEXANDRA
ALFONSO,ALPHONSO
ALFONSO,LAPHONSO
AMANDA,MANDY
ANDREW,ANDY
ANDREW,DREW
ANNA,ANN
ANNA,ANNIE
ANNA,ANYA
ANTHONY,TONY
ANTONETTE,TONI
ANTONETTE,ANTONIA
ANTONIO,TONY
ARNOLD,ARNIE
ARTHUR,ART
ASHLEY,ASH
AUBREY,AUBREE
AUGUSTA,GUSSIE
AUGUSTINE,GUS
AUGUSTINE,AUGIE
AYESHA,AISHA
BARBARA,BARB
BARBARA,BABS
BEATRICE,BEA
BEATRICE,BEATRIX
BEATRIX,TRIXIE
BENJAMIN,BEN
BENJAMIN,BENNY
BENJAMIN,BENJI
BENJAMIN,BENNIE
BERNARD,BERNIE
BERNADETTE,BERNIE
BRADLEY,BRAD
BRIAN,BRYAN
BRIANNA,BREANA
BRITNEY,BRITTANY
BRITTANY,BRITTNEY
BRODY,BRODIE
BRYN,BRYNN
CAITLIN,KATHLEEN
CAITLIN,KAITLYN
CAITLIN,KAITLIN
CAITLIN,CAITLYN
CADEN,CAYDEN
CADEN,KADEN
CALISTA,CALLISTA
CALISTA,CALLIE
CARL,KARL
CAROLINE,CAROL
CAROLINE,CARRIE
CAROLYN,CAROL
CHARLES,CHARLIE
CHARLES,CHUCK
CHARLES,CHIP
CHARLES,CHAS
CHARLES,CHARLEY
CHELSEA,CHELSIE
CHESTER,CHET
CHRISTINA,TINA
CHRISTINA,CHRISTY
CHRISTINE,TINA
CHRISTOPHER,CHRIS
CHRISTOPHER,TOPHER
CLARA,CLAIRE
CLIFFORD,CLIFF
CLINTON,CLINT
CLAYTON,CLAY
COLEEN,COLLEEN
COLETTE,COCO
CONSTANTINE,KONSTANTINE
CONSTANCE,CONNIE
COREY,CORY
COREY,KORY
COREY,KOREY
CORINA,CORINNA
CURTIS,CURT
KURT,CURT
CYBIL,SIBYL
DANA,DAYNA
DANIEL,DAN
DANIEL,DANNY
DANIELLE,DANI
DAVID,DAVE
DAVID,DAVEY
DEBORAH,DEB
DEBORAH,DEBBIE
DEBORAH,DEBRA
DEIRDRE,DEIDRE
DENZEL,DENZIL
DEVIN,DEVON
DEVIN,DEVYN
DIANE,DIANA
DIMITRI,DMITRI
DINA,DINAH
DOLORES,DELORES
DOLORES,LOLA
DOMINICK,DOM
DONALD,DON
DONALD,DONNIE
DORIS,DORRIE
DOROTHY,DOT
DOROTHY,DOTTIE
DOROTHY,DOLLY
DOROTHY,DOROTHEA
DOUGLAS,DOUG
DUANE,DWAYNE
DUSTIN,DUSTY
DYLAN,DILLON
DYLAN,DILLAN
EDITH,EDIE
EDWARD,TED
EDWARD,ED
EDWARD,EDDIE
EDWARD,TEDDY
EDWARD,NED
ELEANOR,ELLIE
ELEANOR,NELL
ELEANOR,NELLIE
ELEANOR,ELINOR
ELEANOR,NELLY
ELIJAH,ELI
ELIZABETH,LIZ
ELIZABETH,LIZZIE
ELIZABETH,BETH
ELIZABETH,BETSY
ELIZABETH,BETTY
ELIZABETH,LIBBY
ELIZABETH,LISA
ELIZABETH,LIZA
ELIZABETH,ELIZA
ELIZABETH,ELISA
ELIZABETH,ELSIE
ELIZABETH,BETTINA
ELIZABETH,BESS
ELIZABETH,BESSIE
ELIZABETH,ELZA
ELIZABETH,LIZBETH
EMILY,EMILIA
EMILY,EMILIE
EMMA,EMMY
EMMA,EMMIE
ERIC,ERIK
ERMA,IRMA
ERNEST,ERNIE
ESTHER,ESTER
EUGENE,GENE
EVA,EVE
EVA,AVA
EVELYN,EVIE
EZEKIEL,ZEKE
FARAH,FARRAH
FLORENCE,FLO
FLORA,FLORRIE
FREDERICK,FRED
FREDERICK,FREDDIE
FREDERICK,FREDDY
GABRIEL,GABE
GABRIELA,GABRIELLE
GABRIELA,GABBY
GAYLE,GAIL
